Fold_time: 0.5, dim_embed: 12, lstm_hidden_size:64, lstm_num_layers: 1, Testing - Loss: 1.0035 Precision: 0.8726, Recall: 0.5855, F1: 0.6024
Fold_time: 0.5, dim_embed: 12, lstm_hidden_size:64, lstm_num_layers: 2, Testing - Loss: 1.3780 Precision: 0.7101, Recall: 0.7922, F1: 0.6607
Fold_time: 0.5, dim_embed: 12, lstm_hidden_size:64, lstm_num_layers: 3, Testing - Loss: 0.9963 Precision: 0.9935, Recall: 0.7597, F1: 0.8424
Fold_time: 0.5, dim_embed: 12, lstm_hidden_size:128, lstm_num_layers: 1, Testing - Loss: 0.7701 Precision: 0.8076, Recall: 0.6050, F1: 0.5626
Fold_time: 0.5, dim_embed: 12, lstm_hidden_size:128, lstm_num_layers: 2, Testing - Loss: 1.2111 Precision: 0.9650, Recall: 0.7511, F1: 0.8095
Fold_time: 0.5, dim_embed: 12, lstm_hidden_size:128, lstm_num_layers: 3, Testing - Loss: 1.2845 Precision: 1.0000, Recall: 0.3864, F1: 0.5463
Fold_time: 0.5, dim_embed: 12, lstm_hidden_size:256, lstm_num_layers: 1, Testing - Loss: 1.2451 Precision: 1.0000, Recall: 0.3864, F1: 0.5463
Fold_time: 0.25, dim_embed: 6, lstm_hidden_size:64, lstm_num_layers: 1, Testing - Loss: 1.5015 Precision: 0.0391, Recall: 1.0000, F1: 0.0748
Fold_time: 0.25, dim_embed: 6, lstm_hidden_size:64, lstm_num_layers: 2, Testing - Loss: 1.0255 Precision: 0.9481, Recall: 0.3864, F1: 0.5325
Fold_time: 0.25, dim_embed: 6, lstm_hidden_size:64, lstm_num_layers: 3, Testing - Loss: 1.7341 Precision: 0.0460, Recall: 1.0000, F1: 0.0871
Fold_time: 0.25, dim_embed: 6, lstm_hidden_size:128, lstm_num_layers: 1, Testing - Loss: 1.2055 Precision: 1.0000, Recall: 0.3864, F1: 0.5463
Fold_time: 0.25, dim_embed: 6, lstm_hidden_size:128, lstm_num_layers: 2, Testing - Loss: 1.8400 Precision: 1.0000, Recall: 0.3864, F1: 0.5463
Fold_time: 0.25, dim_embed: 6, lstm_hidden_size:128, lstm_num_layers: 3, Testing - Loss: 0.9119 Precision: 1.0000, Recall: 0.3864, F1: 0.5463
Fold_time: 0.25, dim_embed: 6, lstm_hidden_size:256, lstm_num_layers: 1, Testing - Loss: 1.8785 Precision: 1.0000, Recall: 0.3864, F1: 0.5463
Fold_time: 0.25, dim_embed: 6, lstm_hidden_size:256, lstm_num_layers: 2, Testing - Loss: 1.4773 Precision: 1.0000, Recall: 0.3864, F1: 0.5463
Fold_time: 0.25, dim_embed: 6, lstm_hidden_size:256, lstm_num_layers: 3, Testing - Loss: 1.0505 Precision: 1.0000, Recall: 0.3864, F1: 0.5463
Fold_time: 0.25, dim_embed: 12, lstm_hidden_size:64, lstm_num_layers: 1, Testing - Loss: 0.9001 Precision: 0.5922, Recall: 0.7543, F1: 0.4819
Fold_time: 0.25, dim_embed: 12, lstm_hidden_size:64, lstm_num_layers: 2, Testing - Loss: 1.2285 Precision: 1.0000, Recall: 0.3864, F1: 0.5463
Fold_time: 0.25, dim_embed: 12, lstm_hidden_size:64, lstm_num_layers: 3, Testing - Loss: 1.4940 Precision: 1.0000, Recall: 0.3864, F1: 0.5463
Fold_time: 0.25, dim_embed: 12, lstm_hidden_size:128, lstm_num_layers: 1, Testing - Loss: 2.4071 Precision: 0.0516, Recall: 1.0000, F1: 0.0973
Fold_time: 0.25, dim_embed: 12, lstm_hidden_size:128, lstm_num_layers: 2, Testing - Loss: 1.1269 Precision: 0.0458, Recall: 1.0000, F1: 0.0868
Fold_time: 0.25, dim_embed: 12, lstm_hidden_size:128, lstm_num_layers: 3, Testing - Loss: 1.5687 Precision: 1.0000, Recall: 0.3864, F1: 0.5463
Fold_time: 0.25, dim_embed: 12, lstm_hidden_size:256, lstm_num_layers: 1, Testing - Loss: 1.5574 Precision: 1.0000, Recall: 0.3864, F1: 0.5463
Fold_time: 0.25, dim_embed: 12, lstm_hidden_size:256, lstm_num_layers: 2, Testing - Loss: 0.8910 Precision: 1.0000, Recall: 0.3864, F1: 0.5463
Fold_time: 0.25, dim_embed: 12, lstm_hidden_size:256, lstm_num_layers: 3, Testing - Loss: 1.0475 Precision: 1.0000, Recall: 0.3864, F1: 0.5463
Fold_time: 0.25, dim_embed: 24, lstm_hidden_size:64, lstm_num_layers: 1, Testing - Loss: 1.0650 Precision: 0.8266, Recall: 0.5660, F1: 0.5451
